id,name,vlsr,Tb
0,3C286,164.731,-0.993027
1,3C286,164.569,0.276008
2,3C286,164.408,-1.41673
3,3C286,164.247,-0.432332
4,3C286,164.086,1.37729
5,3C286,163.925,0.216284
6,3C286,163.764,-0.0744225
7,3C286,163.603,1.93757
8,3C286,163.442,-0.734999
9,3C286,163.281,-1.40356
10,3C286,163.12,0.0939368
11,3C286,162.959,0.580025
12,3C286,162.798,-0.526189
13,3C286,162.637,0.506209
14,3C286,162.476,0.202738
15,3C286,162.315,-0.156165
16,3C286,162.154,-0.371081
17,3C286,161.993,0.635498
18,3C286,161.832,-0.596842
19,3C286,161.671,-0.112753
20,3C286,161.51,1.8106
21,3C286,161.349,0.0198802
22,3C286,161.188,0.701369
23,3C286,161.027,-0.289837
24,3C286,160.866,0.906452
25,3C286,160.705,1.16094
26,3C286,160.544,-0.227758
27,3C286,160.383,0.0914316
28,3C286,160.222,-0.168304
29,3C286,160.061,0.394039
30,3C286,159.9,0.138724
31,3C286,159.739,-0.833981
32,3C286,159.578,-0.77289
33,3C286,159.417,-0.0588637
34,3C286,159.256,0.213526
35,3C286,159.095,-0.140202
36,3C286,158.934,-0.437755
37,3C286,158.773,0.613654
38,3C286,158.611,0.172937
39,3C286,158.45,0.502651
40,3C286,158.289,-1.02581
41,3C286,158.128,0.692234
42,3C286,157.967,0.527498
43,3C286,157.806,-0.0583071
44,3C286,157.645,-0.114489
45,3C286,157.484,-1.18568
46,3C286,157.323,-0.932092
47,3C286,157.162,0.669758
48,3C286,157.001,0.402376
49,3C286,156.84,0.0294164
50,3C286,156.679,-0.458967
51,3C286,156.518,-0.497834
52,3C286,156.357,-0.743352
53,3C286,156.196,-0.198179
54,3C286,156.035,0.771331
55,3C286,155.874,0.724404
56,3C286,155.713,0.163049
57,3C286,155.552,0.942867
58,3C286,155.391,-0.24127
59,3C286,155.23,-0.184814
60,3C286,155.069,0.191434
61,3C286,154.908,1.18475
62,3C286,154.747,1.14965
63,3C286,154.586,0.274842
64,3C286,154.425,0.580937
65,3C286,154.264,-0.949603
66,3C286,154.103,0.465744
67,3C286,153.942,-0.777332
68,3C286,153.781,0.288461
69,3C286,153.62,0.328681
70,3C286,153.459,-0.242664
71,3C286,153.298,0.0499051
72,3C286,153.137,1.29646
73,3C286,152.976,-0.507731
74,3C286,152.815,-0.259319
75,3C286,152.654,-0.538261
76,3C286,152.492,0.166973
77,3C286,152.331,-0.0668083
78,3C286,152.17,-0.04979
79,3C286,152.009,0.677214
80,3C286,151.848,-0.988196
81,3C286,151.687,0.00695916
82,3C286,151.526,-0.573064
83,3C286,151.365,-0.07201
84,3C286,151.204,-0.551231
85,3C286,151.043,-0.0987993
86,3C286,150.882,-0.224375
87,3C286,150.721,0.311846
88,3C286,150.56,-0.502661
89,3C286,150.399,0.485854
90,3C286,150.238,-0.465407
91,3C286,150.077,0.0398319
92,3C286,149.916,-0.334046
93,3C286,149.755,0.8829
94,3C286,149.594,0.202585
95,3C286,149.433,-0.410795
96,3C286,149.272,0.413809
97,3C286,149.111,0.486712
98,3C286,148.95,0.345835
99,3C286,148.789,0.329697
100,3C286,148.628,-0.261286
101,3C286,148.467,0.310199
102,3C286,148.306,-0.603555
103,3C286,148.145,0.299186
104,3C286,147.984,0.615997
105,3C286,147.823,-0.449765
106,3C286,147.662,-0.116642
107,3C286,147.501,0.123547
108,3C286,147.34,0.174185
109,3C286,147.179,-0.339219
110,3C286,147.018,0.239447
111,3C286,146.857,-0.28306
112,3C286,146.695,-0.0985613
113,3C286,146.534,0.850032
114,3C286,146.373,-0.672884
115,3C286,146.212,-0.777213
116,3C286,146.051,-0.172835
117,3C286,145.89,0.141312
118,3C286,145.729,-0.0676397
119,3C286,145.568,-0.368966
120,3C286,145.407,0.721533
121,3C286,145.246,0.147235
122,3C286,145.085,-0.239475
123,3C286,144.924,-0.0962378
124,3C286,144.763,-0.520091
125,3C286,144.602,-0.282931
126,3C286,144.441,-0.3409
127,3C286,144.28,0.0644208
128,3C286,144.119,-0.509839
129,3C286,143.958,0.0605436
130,3C286,143.797,-0.547597
131,3C286,143.636,-0.120844
132,3C286,143.475,-0.0160152
133,3C286,143.314,-0.00478029
134,3C286,143.153,-0.0679493
135,3C286,142.992,-0.676741
136,3C286,142.831,0.27644
137,3C286,142.67,0.642837
138,3C286,142.509,-0.94882
139,3C286,142.348,0.284148
140,3C286,142.187,0.635811
141,3C286,142.026,-0.0744379
142,3C286,141.865,-0.306684
143,3C286,141.704,0.33934
144,3C286,141.543,-0.040905
145,3C286,141.382,0.163484
146,3C286,141.221,0.0584475
147,3C286,141.06,0.199297
148,3C286,140.899,0.655193
149,3C286,140.737,0.66476
150,3C286,140.576,-0.0298448
151,3C286,140.415,-0.387639
152,3C286,140.254,-0.40918
153,3C286,140.093,0.393949
154,3C286,139.932,0.785365
155,3C286,139.771,0.449423
156,3C286,139.61,-0.759001
157,3C286,139.449,0.928042
158,3C286,139.288,0.231447
159,3C286,139.127,-0.210175
160,3C286,138.966,-0.700821
161,3C286,138.805,0.243667
162,3C286,138.644,0.078085
163,3C286,138.483,-0.182573
164,3C286,138.322,-0.112915
165,3C286,138.161,0.531943
166,3C286,138,0.56467
167,3C286,137.839,-0.521085
168,3C286,137.678,0.0934486
169,3C286,137.517,-0.614086
170,3C286,137.356,0.458016
171,3C286,137.195,-0.597499
172,3C286,137.034,-0.22805
173,3C286,136.873,-0.251601
174,3C286,136.712,0.465081
175,3C286,136.551,0.0421089
176,3C286,136.39,-0.758215
177,3C286,136.229,-0.0732628
178,3C286,136.068,0.710351
179,3C286,135.907,0.268522
180,3C286,135.746,-0.334752
181,3C286,135.585,0.175983
182,3C286,135.424,-0.0264776
183,3C286,135.263,-0.381671
184,3C286,135.102,0.0776894
185,3C286,134.941,0.821221
186,3C286,134.78,-0.250249
187,3C286,134.618,-0.424746
188,3C286,134.457,-0.325867
189,3C286,134.296,-0.239901
190,3C286,134.135,0.284937
191,3C286,133.974,0.0106368
192,3C286,133.813,0.44293
