 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name     
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
====================================================================================================================
  3.72  -12.0    0.006   0.000   -5.5  0.1    6.38  0.17   651.31   6.33     889      0.46   1  -18.0 -18.0  3C273    
  0.00  -12.0    0.002   0.000   24.2  0.1    2.00  0.13     0.00   0.00      87      0.00   3  -18.0 -18.0  3C273    
  0.64   0.01    0.000   -10.0   26.1  0.2   20.99  0.56  5700.00  -12.0    9626      0.26   9   0.50  0.29  3C273    
  0.00  -12.0    0.003   0.000   31.8  0.1    2.85  0.12     0.00   0.00     177      0.00   2  -18.0 -18.0  3C273    
  1.52   0.06    0.003   -10.0  -28.0  0.1    9.33  0.25   500.00  -12.0    1902      0.28   9   0.50  0.29  3C274.1  
  0.88  -12.0    0.009   0.001  -26.8  0.2    3.91  0.51    96.68   8.54     334      0.07   1  -18.0 -18.0  3C274.1  
  0.93   0.02    0.003   -10.0  -14.9  0.4   53.31  0.74   280.00  -12.0   62117      0.97   9   0.50  0.29  3C274.1  
  3.80  -12.0    0.102   0.001   -1.6  0.0    2.94  0.04    39.15   2.41     189      0.23   0  -18.0 -18.0  3C274.1  
  6.56   0.05    0.009   -10.0    0.4  0.0    6.36  0.05   730.00  -12.0     884      0.81   9   0.52  0.29  3C274.1  
  1.79   0.06    0.015   -10.0  -13.1  0.6   54.01  1.78   120.00  -12.0   63800      1.88   9   0.50  0.00  3C286    
  1.16   0.11    0.010   -10.0   -6.0  0.3    7.27  0.89   115.00  -12.0    1157      0.16   9   0.50  0.00  3C286    
  0.58   0.05    0.003   -10.0  -30.3  0.4    8.85  1.05   190.00  -12.0    1714      0.10   9   0.50  0.00  3C293    
  1.25   0.04    0.003   -10.0  -13.7  0.6   41.71  1.01   410.00  -12.0   38041      1.01   9   0.50  0.00  3C293    
  1.07   0.06    0.003   -10.0   -5.2  0.2    8.32  0.55   360.00  -12.0    1512      0.17   9   0.50  0.00  3C293    
  1.25   0.04    0.002   -10.0  -12.1  0.6   33.81  0.91   670.00  -12.0   24982      0.83   9   0.50  0.29  3C310    
 17.93  -12.0    0.620   0.003   -3.7  0.0    1.75  0.01    38.81   3.37      66      0.82   1  -18.0 -18.0  3C310    
  9.54   0.21    0.005   -10.0   -1.4  0.1    9.54  0.11  1900.00  -12.0    1990      1.77   9   0.49  0.29  3C310    
  2.86  -12.0    0.061   0.001    0.6  0.1    5.11  0.13    48.36   4.76     571      0.29   0  -18.0 -18.0  3C310    
 24.03  -12.0    0.784   0.011   -4.2  0.0    2.15  0.02    44.23   2.20     100      1.45   0  -18.0 -18.0  3C315    
  2.04   0.30    0.001   -10.0   -4.2  0.3   26.13  2.18  1380.00  -12.0   14922      1.03   9   0.50  0.29  3C315    
 12.49   0.36    0.018   -10.0   -2.8  0.5    6.26  1.10   710.00  -12.0     856      1.52   9   0.16  0.23  3C315    
  8.30  -12.0    0.146   0.004    1.6  0.1    4.41  0.15    61.00  15.11     425      0.77   1  -18.0 -18.0  3C315    
  0.32   0.02    0.005   -10.0  -56.0  0.7   19.18  1.59    60.00  -12.0    8043      0.12   9   0.50  0.29  3C318    
  0.93   0.03    0.001   -10.0  -11.2  0.5   42.74  1.16   950.00  -12.0   39924      0.77   9   0.53  0.28  3C318    
 13.05  -12.0    0.482   0.013   -6.0  0.0    1.77  0.03    34.12   4.47      68      0.57   0  -18.0 -18.0  3C318    
 15.55  -12.0    0.300   0.011   -5.0  0.0    3.36  0.04    60.07   5.81     246      1.18   1  -18.0 -18.0  3C318    
 11.64   0.17    0.012   -10.0   -3.4  0.0    9.32  0.06  1000.00  -12.0    1899      2.11   9   0.43  0.29  3C318    
  0.72   0.02    0.000   -10.0  -37.8  0.5   27.06  1.80  1790.00  -12.0   16007      0.38   9   0.50  0.29  3C333    
  3.84   0.06    0.002   -10.0   -0.6  0.1   24.47  0.35  2050.00  -12.0   13090      1.83   9   0.51  0.29  3C333    
 17.01  -12.0    0.993   0.010    0.9  0.0    2.11  0.02    27.01   7.96      97      1.10   0  -18.0 -18.0  3C333    
 16.93   0.55    0.028   -10.0    0.9  0.0    5.40  0.10   610.00  -12.0     636      1.78   9   0.50  0.29  3C333    
  2.66  -12.0    0.259   0.003   -2.2  0.0    1.65  0.03    11.65   4.80      59      0.10   1  -18.0 -18.0  3C348    
 15.39   0.21    0.017   -10.0   -0.4  0.0    6.29  0.07   890.00  -12.0     863      1.88   9   0.55  0.28  3C348    
 14.76  -12.0    0.604   0.004    0.5  0.0    2.12  0.01    32.54   5.82      98      0.81   0  -18.0 -18.0  3C348    
  3.31   0.04    0.001   -10.0    2.8  0.1   35.08  0.29  3300.00  -12.0   26904      2.26   9   0.50  0.29  3C348    
  8.53  -12.0    0.078   0.002    7.2  0.0    3.73  0.09   113.21   1.57     304      0.64   2  -18.0 -18.0  3C348    
  1.72  -12.0    0.006   0.001   -8.4  0.2    4.19  0.57   292.48  48.11     383      0.14   4  -18.0 -18.0  3C353    
 25.87  -12.0    1.209   0.007    0.0  0.0    2.80  0.01    36.89  10.12     170      2.43   1  -18.0 -18.0  3C353    
 28.62  -12.0    0.195   0.008    1.4  0.0    5.84  0.07   161.35   4.53     746      3.59   0  -18.0 -18.0  3C353    
 15.37  -12.0    0.859   0.006    2.4  0.0    1.69  0.01    26.66  13.08      62      0.76   2  -18.0 -18.0  3C353    
  7.33   0.13    0.005   -10.0    6.0  0.3   26.88  0.38  1560.00  -12.0   15797      3.84   9   0.51  0.29  3C353    
  1.57  -12.0    0.040   0.001   11.9  0.0    3.01  0.07    39.89   5.32     198      0.09   3  -18.0 -18.0  3C353    
  2.85   0.03    0.003   -10.0  -63.7  0.1   24.05  0.34   980.00  -12.0   12640      1.34   9   0.50  0.29  3C409    
 11.93  -12.0    0.451   0.002    3.9  0.0    3.03  0.02    32.85   7.01     201      0.88   0  -18.0 -18.0  3C409    
 11.86  -12.0    0.331   0.003    7.7  0.0    2.91  0.04    42.08  10.70     184      0.79   3  -18.0 -18.0  3C409    
 45.67   1.51    0.013   -10.0   11.2  0.1   12.97  0.37  3460.00  -12.0    3674     11.52   9   0.39  0.27  3C409    
 22.40  -12.0    0.861   0.010   13.7  0.0    1.96  0.02    38.80  18.47      83      1.28   2  -18.0 -18.0  3C409    
 10.44  -12.0    0.413   0.011   14.0  0.0    6.90  0.13    30.85  11.38    1040      1.71   4  -18.0 -18.0  3C409    
 11.45   0.39    0.010   -10.0   15.3  0.2   30.83  0.28  1180.00  -12.0   20779      6.88   9   0.50  0.29  3C409    
 20.64  -12.0    0.753   0.009   15.7  0.0    1.69  0.02    38.99  13.10      62      0.97   1  -18.0 -18.0  3C409    
  5.17  -12.0    0.035   0.001   23.3  0.1    4.27  0.20   148.28  13.67     399      0.44   5  -18.0 -18.0  3C409    
  6.58   0.16    0.015   -10.0  -68.3  0.5   37.29  1.19   430.00  -12.0   30404      4.78   9   0.49  0.29  3C410    
  0.30  -12.0    0.019   0.005  -46.3  0.3    2.53  0.68    16.11  29.14     139      0.02   7  -18.0 -18.0  3C410    
  8.43  -12.0    0.042   0.004  -23.2  0.2    3.52  0.37   205.53  15.95     270      0.59   6  -18.0 -18.0  3C410    
  8.24   0.37    0.015   -10.0  -21.5  0.3   16.36  0.89   550.00  -12.0    5851      2.63   9   0.50  0.29  3C410    
 13.06  -12.0    0.369   0.061   -0.7  0.2    3.51  0.21    42.30  13.68     269      1.07   3  -18.0 -18.0  3C410    
 26.67  -12.0    0.654   0.025    2.6  0.2    4.33  0.34    55.56  22.19     409      3.06   2  -18.0 -18.0  3C410    
 52.84  -12.0    2.214   0.030    7.8  0.0    2.77  0.05    59.33  24.84     167      7.08   1  -18.0 -18.0  3C410    
 59.82   1.00    0.035   -10.0    8.0  0.2   21.77  0.39  1710.00  -12.0   10360     25.37   9   0.52  0.29  3C410    
 31.74  -12.0    0.688   0.009   11.3  0.1    3.55  0.11    63.79  22.10     276      3.04   0  -18.0 -18.0  3C410    
  0.00  -12.0    0.118   0.004   17.8  0.1    4.81  0.25     0.00   0.00     506      0.00   4  -18.0 -18.0  3C410    
  8.04  -12.0    0.103   0.004   25.0  0.1    3.54  0.17    82.37   8.82     274      0.58   5  -18.0 -18.0  3C410    
  2.66  -12.0    0.162   0.008    2.1  0.0    1.45  0.06    17.85  10.98      45      0.08   0  -18.0 -18.0  3C433    
 24.25  -12.0    0.258   0.007    3.0  0.0    4.12  0.09   106.60   4.40     371      2.21   1  -18.0 -18.0  3C433    
 10.26   0.10    0.007   -10.0    3.5  0.1   25.31  0.22  1450.00  -12.0   14005      5.06   9   0.50  0.29  3C433    
  6.71  -12.0    0.076   0.003    6.9  0.0    1.97  0.10    92.22   5.03      84      0.27   2  -18.0 -18.0  3C433    
  4.39  -12.0    0.053   0.002   16.0  0.0    3.11  0.11    85.00   4.10     210      0.27   3  -18.0 -18.0  3C433    
  1.69   0.02    0.004   -10.0  -50.9  0.2   28.82  0.59   420.00  -12.0   18158      0.95   9   0.50  0.29  3C454.0  
  2.75   0.13    0.002   -10.0   -7.7  0.5   26.54  0.49  1360.00  -12.0   15397      1.42   9   0.50  0.29  3C454.0  
  6.81  -12.0    0.045   0.001   -1.5  0.1    6.39  0.20   156.34   5.71     892      0.87   1  -18.0 -18.0  3C454.0  
  6.98   0.20    0.007   -10.0   -0.2  0.1   12.94  0.28  1070.00  -12.0    3658      1.76   9   0.50  0.29  3C454.0  
  5.91  -12.0    0.093   0.001    3.9  0.0    3.12  0.05    66.22   2.48     213      0.38   0  -18.0 -18.0  3C454.0  
  0.91  -12.0    0.016   0.001  -35.4  0.1    3.36  0.18    56.79   7.80     246      0.06   5  -18.0 -18.0  3C454.3  
  3.02   0.05    0.005   -10.0  -31.2  0.5   36.89  1.14   570.00  -12.0   29756      2.17   9   0.50  0.29  3C454.3  
  0.42  -12.0    0.048   0.001  -30.4  0.0    2.00  0.05     8.92   3.30      87      0.02   4  -18.0 -18.0  3C454.3  
  2.18  -12.0    0.015   0.001  -16.8  0.1    5.51  0.27   151.25   9.11     664      0.24   6  -18.0 -18.0  3C454.3  
 10.73  -12.0    0.298   0.001  -10.1  0.0    2.65  0.01    41.65   1.52     153      0.64   3  -18.0 -18.0  3C454.3  
  7.59  -12.0    0.091   0.001   -2.0  0.0    3.69  0.07    86.97   5.18     297      0.57   0  -18.0 -18.0  3C454.3  
  9.02   0.24    0.005   -10.0   -1.1  0.1   14.96  0.29  2000.00  -12.0    4891      2.63   9   0.52  0.29  3C454.3  
  3.50  -12.0    0.079   0.003    0.7  0.0    1.81  0.06    46.32   4.91      71      0.13   2  -18.0 -18.0  3C454.3  
  0.88  -12.0    0.022   0.001    3.4  0.2    4.20  0.35    40.89  12.03     386      0.07   1  -18.0 -18.0  3C454.3  
  2.26   0.03    0.010   -10.0  -11.5  0.2   24.96  0.29   220.00  -12.0   13614      1.10   9   0.50  0.29  4C07.32  
  4.71   0.07    0.010   -10.0   -1.9  0.0    7.48  0.12   470.00  -12.0    1221      0.69   9   0.50  0.29  4C07.32  
  6.90  -12.0    0.177   0.005   -1.9  0.0    2.19  0.07    42.62   2.28     105      0.32   0  -18.0 -18.0  4C07.32  
  0.93  -12.0    0.022   0.004  -12.8  0.4    5.57  1.04    42.86   2.32     678      0.10   2  -18.0 -18.0  4C13.65  
 14.24  -12.0    0.600   0.039    1.4  0.1    2.04  0.08    31.55   2.71      90      0.75   1  -18.0 -18.0  4C13.65  
 10.04   0.14    0.022   -10.0    1.9  0.0    7.06  0.08   460.00  -12.0    1088      1.38   9   0.50  0.29  4C13.65  
 10.20  -12.0    0.344   0.023    3.4  0.2    2.57  0.20    35.09   3.09     144      0.60   0  -18.0 -18.0  4C13.65  
  2.66   0.07    0.023   -10.0    9.6  0.1    4.73  0.17   115.00  -12.0     489      0.24   9   0.50  0.29  4C13.65  
  8.53   0.07    0.022   -10.0   12.8  0.1   35.42  0.15   390.00  -12.0   27432      5.89   9   0.51  0.29  4C13.65  
  1.88   0.06    0.008   -10.0   20.0  0.1    5.57  0.21   230.00  -12.0     677      0.20   9   0.50  0.29  4C13.65  
  2.94   0.04    0.008   -10.0  -67.8  0.2   32.25  0.57   370.00  -12.0   22741      1.85   9   0.50  0.29  4C13.67  
 17.73  -12.0    1.161   0.015    2.0  0.0    2.10  0.02    25.81   6.76      96      1.22   1  -18.0 -18.0  4C13.67  
 30.01   2.21    0.061   -10.0    4.9  0.1    8.37  0.42   490.00  -12.0    1532      4.88   9   0.31  0.27  4C13.67  
 18.90  -12.0    1.019   0.010    6.2  0.0    4.01  0.04    29.56   8.37     351      2.36   0  -18.0 -18.0  4C13.67  
  2.36  -12.0    0.030   0.003   20.2  0.4    8.20  0.89    80.73   7.14    1469      0.38   2  -18.0 -18.0  4C13.67  
  6.63   0.16    0.018   -10.0   20.4  0.4   46.69  0.45   360.00  -12.0   47663      6.03   9   0.51  0.29  4C13.67  
  0.92   0.03    0.031   -10.0  -11.4  0.5   37.36  0.92    30.00  -12.0   30532      0.67   9   0.50  0.00  4C19.44  
  4.14   0.14    0.041   -10.0   -6.3  0.0    3.13  0.10   100.00  -12.0     213      0.25   9   0.50  0.00  4C19.44  
  7.84   0.15    0.049   -10.0   -3.4  0.0    9.70  0.11   160.00  -12.0    2059      1.48   9   0.50  0.00  4C19.44  
  5.86   0.13    0.117   -10.0   -2.8  0.0    2.18  0.05    50.00  -12.0     103      0.25   9   0.50  0.00  4C19.44  
  0.83   0.04    0.010   -10.0  -13.2  0.5   37.94  1.07    80.00  -12.0   31466      0.62   9   0.50  0.29  4C20.33  
  2.92  -12.0    0.058   0.003   -9.0  0.1    2.48  0.12    51.56   2.54     134      0.15   1  -18.0 -18.0  4C20.33  
  6.72   0.07    0.009   -10.0   -5.9  0.0   11.74  0.09   780.00  -12.0    3015      1.54   9   0.49  0.29  4C20.33  
  4.01  -12.0    0.049   0.002   -2.6  0.1    4.75  0.21    84.57   2.87     493      0.38   0  -18.0 -18.0  4C20.33  
 35.27  -12.0    6.994   1.782   -2.2  0.0    1.26  0.08    35.31  16.92      34      6.05   1  -18.0 -18.0  4C22.12  
 60.36  -12.0    7.911   8.309    4.4  0.1    0.83  0.19    60.38  27.61      14      7.68   4  -18.0 -18.0  4C22.12  
 68.21  -12.0    1.756   0.045    5.1  0.1   11.63  0.21    82.46  27.02    2954     32.79   3  -18.0 -18.0  4C22.12  
 82.17   9.17    0.183   -10.0    6.2  0.2   19.77  0.51   450.00  -12.0    8548     31.58   9   0.45  0.27  4C22.12  
 67.48  -12.0    4.067   2.174    7.5  0.1    0.90  0.15    68.66  26.77      17      4.90   0  -18.0 -18.0  4C22.12  
 19.49  -12.0    0.840   0.034   15.8  0.1    3.97  0.16    34.28  12.06     345      2.23   2  -18.0 -18.0  4C22.12  
  2.24  -12.0    0.020   0.001  -16.9  0.1    2.55  0.22   113.15   4.56     141      0.11   0  -18.0 -18.0  4C32.44  
  1.53   0.03    0.005   -10.0  -10.2  0.3   30.49  0.70   280.00  -12.0   20325      0.91   9   0.50  0.29  4C32.44  
  1.10  -12.0    0.007   0.002   -4.6  0.2    1.41  0.42   147.74  15.32      43      0.03   1  -18.0 -18.0  4C32.44  
 23.18  -12.0    0.389   0.006   -0.5  0.0    4.18  0.06    71.97   8.85     381      2.28   1  -18.0 -18.0  CTA21    
  5.59  -12.0    0.193   0.012    1.3  0.0    1.70  0.09    31.82  11.99      63      0.20   0  -18.0 -18.0  CTA21    
 22.24   0.25    0.008   -10.0    1.6  0.1   14.85  0.11  2850.00  -12.0    4817      6.43   9   0.46  0.29  CTA21    
  7.55  -12.0    0.108   0.002    6.9  0.0    4.17  0.11    73.69   6.97     379      0.65   2  -18.0 -18.0  CTA21    
  3.90   0.06    0.010   -10.0    1.3  0.1    9.03  0.18   390.00  -12.0    1784      0.69   9   0.50  0.00  DW0742+10
  2.63   0.05    0.011   -10.0    8.2  0.2   34.01  0.44   250.00  -12.0   25294      1.74   9   0.50  0.00  DW0742+10
  4.06   3.20    0.007   -10.0   -5.4  9.4   36.50 12.64   570.00  -12.0   29128      2.28   9   0.56  0.28  NRAO140  
134.13 191.16    0.152   -10.0    5.6  0.7    4.16  1.44   880.00  -12.0     377      7.62   9   0.36  0.30  NRAO140  
 38.87  26.05    0.046   -10.0    6.2  0.3   10.01  3.75   840.00  -12.0    2191      6.17   9   0.41  0.28  NRAO140  
 26.83  -12.0    7.011   0.300    6.8  0.0    3.66  0.03    26.85  12.77     292     13.42   0  -18.0 -18.0  NRAO140  
 21.33  -12.0    0.478   0.014   -6.3  0.1    5.10  0.11    56.12   4.49     569      2.67   0  -18.0 -18.0  P0320+05 
  7.62  -12.0    0.223   0.024   -4.4  0.1    1.37  0.18    38.11   8.33      41      0.23   1  -18.0 -18.0  P0320+05 
 12.41   0.26    0.024   -10.0   -1.4  0.8   14.86  1.08   520.00  -12.0    4828      3.59   9   0.51  0.29  P0320+05 
 16.52  -12.0    0.372   0.012    5.8  0.0    3.04  0.09    53.23   3.69     201      1.17   3  -18.0 -18.0  P0320+05 
 15.60   0.68    0.018   -10.0   10.6  0.4    8.39  0.70   870.00  -12.0    1539      2.56   9   0.50  0.29  P0320+05 
 14.61  -12.0    0.408   0.012   11.7  0.0    2.82  0.08    43.62   8.05     174      0.98   2  -18.0 -18.0  P0320+05 
  5.30   0.46    0.053   -10.0   -0.6  0.1    2.93  0.32   100.00  -12.0     187      0.30   9   0.50  0.29  P0347+05 
 18.69   0.36    0.035   -10.0    5.7  0.2   16.14  0.21   530.00  -12.0    5695      5.88   9   0.50  0.29  P0347+05 
 40.28  -12.0    1.051   0.027    8.0  0.1    3.54  0.08    61.91   8.28     273      4.49   1  -18.0 -18.0  P0347+05 
 26.89  -12.0    0.171   0.012   12.1  0.4    4.87  0.64   171.55   6.05     519      2.78   0  -18.0 -18.0  P0347+05 
  4.27   0.43    0.009   -10.0   -5.4  1.2   40.10  1.61   490.00  -12.0   35154      3.32   9   0.50  0.29  P0428+20 
 19.33  -12.0    1.132   0.016    3.2  0.0    3.42  0.04    28.52  19.69     255      2.15   2  -18.0 -18.0  P0428+20 
 62.19   1.66    0.028   -10.0    5.3  0.0   11.30  0.33  2200.00  -12.0    2789     13.67   9   0.53  0.27  P0428+20 
 24.22  -12.0    1.318   0.040    9.2  0.0    3.70  0.05    33.07  18.46     298      3.14   1  -18.0 -18.0  P0428+20 
 21.22  -12.0    2.346   0.128   10.6  0.0    1.50  0.05    23.47   9.38      49      1.61   0  -18.0 -18.0  P0428+20 
  3.70  -12.0    0.011   0.001  -23.1  0.3    6.76  0.70   333.26  21.57    1000      0.49   3  -18.0 -18.0  P0531+19 
 17.77  -12.0    0.474   0.003    1.8  0.0    2.09  0.02    47.10  16.58      95      0.91   2  -18.0 -18.0  P0531+19 
 31.04   0.39    0.010   -10.0    3.1  0.1   23.65  0.20  3050.00  -12.0   12225     14.30   9   0.49  0.29  P0531+19 
 39.01  -12.0    0.229   0.001    5.5  0.0    8.74  0.06   190.74  13.06    1670      7.43   0  -18.0 -18.0  P0531+19 
 17.87  -12.0    0.166   0.003    9.6  0.0    1.87  0.04   117.02  10.60      76      0.71   1  -18.0 -18.0  P0531+19 
  1.09   0.16    0.014   -10.0  -37.2  0.7   21.58  2.34    80.00  -12.0   10184      0.46   9   0.50  0.00  P0820+22 
  3.18   0.19    0.020   -10.0   -7.9  0.1   15.38  0.58   160.00  -12.0    5171      0.95   9   0.50  0.00  P0820+22 
  1.11   0.12    0.016   -10.0    7.2  4.6   63.39  4.79    70.00  -12.0   87880      1.37   9   0.50  0.00  P0820+22 
  6.75   0.10    0.015   -10.0    9.8  0.1   11.03  0.15   440.00  -12.0    2662      1.45   9   0.50  0.00  P0820+22 
  1.05   0.01    0.002   -10.0  -32.2  0.3   29.62  0.62   520.00  -12.0   19177      0.61   9   0.50  0.29  P1055+20 
  1.67   0.04    0.002   -10.0   -4.9  0.1   18.36  0.38   810.00  -12.0    7371      0.60   9   0.50  0.29  P1055+20 
  1.47  -12.0    0.010   0.001   -4.6  0.1    7.94  0.30   149.01   6.39    1379      0.23   1  -18.0 -18.0  P1055+20 
  2.81  -12.0    0.073   0.001   -3.6  0.0    2.23  0.02    40.00   1.10     108      0.13   0  -18.0 -18.0  P1055+20 
  1.36   0.01    0.008   -10.0  -29.3  0.3   43.23  0.49   170.00  -12.0   40868      1.14   9   0.50  0.00  P1117+14 
  1.48   0.02    0.005   -10.0   -5.3  0.1   14.85  0.23   310.00  -12.0    4820      0.43   9   0.50  0.00  P1117+14 
  2.50   0.94    0.125   -10.0  -27.4  0.3    1.83  0.84    20.00  -12.0      72      0.09   9   0.50  0.29  T0526+24 
 14.45   1.05    0.206   -10.0  -21.2  1.6   18.94  2.28    70.00  -12.0    7840      5.35   9   0.46  0.29  T0526+24 
 30.63  -12.0    1.080   0.037   -7.6  0.1    6.22  0.16    46.39   8.75     847      6.07   3  -18.0 -18.0  T0526+24 
 55.00   1.73    0.196   -10.0    0.2  0.7   19.50  0.92   280.00  -12.0    8315     20.89   9   0.22  0.18  T0526+24 
 31.38  -12.0    2.809   0.684    2.5  0.0    1.08  0.11    33.39  16.99      25      1.97   2  -18.0 -18.0  T0526+24 
 43.24  -12.0    1.413   0.076    5.9  0.1    7.86  0.20    57.14  10.05    1352     12.37   1  -18.0 -18.0  T0526+24 
 54.72  -12.0   39.128  49.972    7.1  0.1    1.20  0.23    54.72   9.54      31     50.11   0  -18.0 -18.0  T0526+24 
  0.00  -12.0    2.105   0.089    6.9  0.2   15.13  0.28     0.00   0.00    5006      0.00   1  -18.0 -18.0  T0556+19 
142.23  81.04    0.508   -10.0    8.6  0.1   20.06  1.75   280.00  -12.0    8796     53.63   9   0.88  0.16  T0556+19 
  0.00  -12.0  106.719 114.205   13.1  0.2    3.19  0.40     0.00   0.00     222      0.00   0  -18.0 -18.0  T0556+19 
  3.96  -12.0    0.152   0.017  -11.9  0.1    1.29  0.16    28.13   7.36      36      0.11   5  -18.0 -18.0  T0629+10 
 61.72   2.93    0.206   -10.0    4.5  0.1    8.46  0.32   300.00  -12.0    1563     10.16   9   0.24  0.18  T0629+10 
 28.44  -12.0    1.605   0.035    4.9  0.0    4.37  0.06    35.60  14.16     416      4.86   1  -18.0 -18.0  T0629+10 
 46.16  -12.0    0.297   0.005   16.9  0.3   28.11  0.46   179.87   8.78   17273     29.21   3  -18.0 -18.0  T0629+10 
 13.91  -12.0    0.354   0.017   23.3  0.1    3.03  0.16    46.68  19.93     201      0.98   2  -18.0 -18.0  T0629+10 
 32.94   2.66    0.150   -10.0   28.1  0.5   18.82  0.73   220.00  -12.0    7739     12.07   9   0.50  0.29  T0629+10 
 14.46  -12.0    0.271   0.016   30.9  0.1    2.81  0.26    60.90  13.83     172      0.90   0  -18.0 -18.0  T0629+10 
 16.34  -12.0    1.285   0.042   33.9  0.0    1.70  0.05    22.59  10.30      63      0.96   4  -18.0 -18.0  T0629+10
