 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name     
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
====================================================================================================================
  1.30  -12.0    0.082   0.007   -6.1  0.1    3.01  0.30    16.45   5.14     198      0.08   1  -18.0 -18.0  3C75-1   
 10.01  -12.0    0.127   0.006    5.0  0.1    4.58  0.22    84.01   7.64     458      0.95   2  -18.0 -18.0  3C75-1   
 15.94   0.25    0.040   -10.0    5.8  0.1   11.76  0.15   400.00  -12.0    3021      3.65   9   0.50  0.29  3C75-1   
 17.24  -12.0    0.647   0.015  -10.4  0.0    2.33  0.05    36.21   4.54     118      1.06   0  -18.0 -18.0  3C75-2   
 10.74   0.23    0.032   -10.0   -9.6  0.1   10.46  0.23   340.00  -12.0    2393      2.19   9   0.49  0.29  3C75-2   
  3.05  -12.0    0.094   0.009   -6.0  0.1    2.34  0.26    34.06   4.44     119      0.15   1  -18.0 -18.0  3C75-2   
 10.14  -12.0    0.139   0.007    4.9  0.1    4.41  0.23    78.00   8.04     424      0.93   2  -18.0 -18.0  3C75-2   
 16.98   0.27    0.022   -10.0    5.8  0.1   11.78  0.16   760.00  -12.0    3035      3.90   9   0.50  0.29  3C75-2   
 17.93  -12.0    0.682   0.006  -10.4  0.0    2.32  0.02    36.26   4.06     117      1.12   0  -18.0 -18.0  3C75     
  9.56   0.16    0.009   -10.0  -10.0  0.1    9.79  0.18  1010.00  -12.0    2095      1.82   9   0.49  0.29  3C75     
  3.33  -12.0    0.095   0.004   -5.8  0.1    2.74  0.12    36.89   3.43     163      0.19   1  -18.0 -18.0  3C75     
 11.02  -12.0    0.113   0.003    5.3  0.1    5.19  0.13   103.57   6.97     589      1.18   2  -18.0 -18.0  3C75     
 14.09   0.21    0.010   -10.0    5.7  0.0   13.05  0.15  1400.00  -12.0    3720      3.58   9   0.50  0.29  3C75     
 11.41  -12.0    0.023   0.002   -8.7  0.2   12.03  0.63   508.07   3.80    3164      2.70   3  -18.0 -18.0  3C78     
